,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1958.75,16666,24.8,8.1,27.5,16,0.468,34.378,116.521,109.864,63549,114429,2.1633,4.0933,4.88,2.69,3.8,6.3667,0.39,5.35,52.31333333,17.123,232,708,782,80.001,415,3991,6922,323.004,3063.085,7.022,78.1743,1.031870634,-999,172.145,197.5004349,88.46830029
1959,16908,24.7,8.5,27.4,16.3,0.268,34.402,116.925,110.318,64267,114849,2.57,4.13,4.87,2.7733,3.99,5.8333,-3.69,5.31,55.51666667,17.169,248,716,794,83.166,435,4025,6978,340.604,3121.936,7.09,81.3723,1.032890794,-999,174.49,200.0045379,92.38843114
1959.25,17253,24.3,8.7,27.3,17,0.146,34.81,117.284,109.699,64849,115287,3.0833,4.3533,4.9533,3,4.26,5.1,0.41,4.7,57.50666667,17.194,257,719,809,89.381,450,4043,7055,367.099,3192.38,7.149,84.5589,1.033078937,-999,179.955,202.3625492,97.81904699
1959.5,17146,24.4,8.8,27.9,15.9,0.372,34.741,116.923,110.14,64770,115668,3.5767,4.4733,5.1167,3.54,4.5,5.2667,2.91,-2.32,58.73,17.258,261,722,824,83.606,457,4041,7120,343.391,3194.653,7.191,80.4988,1.027895629,-999,182.517,204.1822985,94.07049167
1959.75,17138,24.5,8.3,28.3,16.3,0.393,34.681,116.643,110.836,65341,116040,3.99,4.57,5.2733,4.23,4.58,5.6,3.87,0.39,57.76333333,17.326,247,726,837,86.524,433,4048,7174,354.567,3203.759,7.261,80.0757,1.022372531,-999,186.895,206.088841,94.46447868
1960,17380,23.9,8.4,27.9,17.8,0.409,35.485,116.385,110.527,64673,116827,3.9333,4.5533,5.31,3.8733,4.49,5.1333,6.3,9.1,56.27666667,17.397,253,723,844,96.476,444,4035,7197,390.21,3275.757,7.415,84.4715,1.020878277,-999,190.16,207.3325505,102.6101883
1960.25,17253,24.3,8.6,28.4,16,0.264,35.005,116.447,112.512,66168,117167,3.6967,4.4533,5.2467,2.9933,4.26,5.2333,-0.39,-7.08,56.07,17.443,257,731,853,87.096,452,4054,7233,353.841,3258.088,7.464,81.318,1.015016814,-999,194.601,209.6160338,96.4888661
1960.5,17223,24.1,8.4,28.4,15.8,0.361,35.106,116.564,112.422,66267,117521,2.9367,4.3133,5.1033,2.36,3.83,5.5333,1.36,-1.2,55.72,17.506,253,726,853,86.377,446,4010,7188,352.942,3274.029,7.509,78.8989,1.00876913,-999,196.291,208.9166539,95.72391882
1960.75,16938,24.5,8.3,29.1,14,0.308,34.678,116.08,113.939,65778,118001,2.2967,4.32,5.0967,2.3067,3.89,6.2667,3.41,-3.64,55.33333333,17.56,246,727,862,75.963,433,3997,7229,313.843,3232.009,7.542,75.8523,1.001853309,-999,200.612,210.0744252,87.42758974
1961,16986,24.4,7.7,29.2,14.4,0.216,35.123,115.848,113.376,65850,118358,2.0033,4.27,5.0633,2.35,3.79,6.8,-0.57,1.76,62.00333333,17.598,231,730,870,78.378,408,4008,7276,321.988,3253.826,7.608,73.8284,0.998845679,-999,202.427,211.7702318,87.48208104
