1972.5,1011,1340.9,1404.1,1755.2,5.5667,468.15,1.055,0.935,391.01,53.075
1972.8,1012.3,1343,1405.3,1755.8,5.3667,468.56,1.2158,1.262,391.83,53.91
1973,1014.6,1347.4,1406.6,1756.7,4.9333,468.36,1.425,1.156,394.04,54.94
1973.2,1015.5,1349.4,1406.9,1757.4,4.9333,468.55,1.6508,1.512,394.13,54.357
1973.5,1014.7,1346.1,1407.5,1757.5,4.8,469.96,2.0808,1.89,393.16,53.295
1973.8,1015.3,1347.5,1407.5,1758,4.7667,470.27,1.875,1.969,392.51,53.6
1974,1014.3,1342,1408.3,1757.6,5.1333,470.51,1.9042,1.884,392.3,52.802
1974.2,1014.4,1342.4,1408.7,1757.2,5.2,469.76,2.0383,2.35,392.04,53.485
1974.5,1013.1,1338.9,1408.6,1756.8,5.6333,470.7,2.0475,2.858,390.97,52.045
1974.8,1012.5,1336.3,1407.6,1754.8,6.6,469.54,1.84,2.902,391.86,53.335
1975,1011.1,1325.5,1407.9,1752.7,8.2667,468.53,1.4375,2.241,392.65,55.758
1975.2,1011.6,1325.1,1408.8,1752.6,8.8667,467.49,1.3483,1.486,394.3,57.048
1975.5,1012.9,1331.1,1409.4,1753.5,8.4667,466.55,1.5825,1.765,395.43,56.48
1975.8,1014,1333.1,1409.9,1754.2,8.3,466.66,1.4067,1.653,395.52,55.44
1976,1016,1340.7,1411.1,1755.8,7.7333,465.94,1.2292,1.034,396.99,55.515
1976.2,1016.6,1343.5,1411.7,1755.6,7.5667,465.75,1.2892,1.011,397.94,56.36
1976.5,1016.8,1344.1,1412.7,1755.8,7.7333,466.24,1.2875,1.281,398.12,56.185
1976.8,1017.3,1345,1413.6,1756,7.7667,466.22,1.1683,1.757,398.45,57.14
1977,1018.2,1348.9,1414.3,1756.8,7.5,466.05,1.1575,1.596,399.05,57.725
1977.2,1019.9,1353.5,1414.9,1758,7.1333,466.04,1.21,1.393,399.48,57.325
1977.5,1021.4,1356.7,1415.8,1758.2,6.9,465.67,1.3742,1.224,400.47,58.828
1977.8,1021.1,1357.2,1416.1,1759.3,6.6667,466.93,1.5275,2.149,399.18,57.793
1978,1021.2,1356.9,1417.3,1759.1,6.3333,468.64,1.5983,1.479,399.24,58.448
1978.2,1024.8,1362.9,1418.6,1761.4,6,466.3,1.6192,1.813,401.18,58.505
1978.5,1025.5,1363.9,1419.2,1761.3,6.0333,466.07,1.8283,1.659,401.19,58.438
1978.8,1026.5,1366,1419.5,1761.8,5.9,465.79,2.1425,2.08,401.81,58.238
1979,1026.5,1365.2,1420,1762,5.8667,467.93,2.3458,1.772,400.92,58.28
1979.2,1026.3,1364.4,1420.7,1761.5,5.7,467.55,2.3442,2.39,400.64,59.28
1979.5,1026.7,1363.5,1421.7,1762.1,5.8667,467.81,2.4183,2.114,400.53,57.883
1979.8,1026.7,1361.7,1422.6,1762.3,5.9667,468.48,2.9608,1.975,400.45,57.975
1980,1026.7,1360.3,1423.2,1761.3,6.3,468.32,3.3383,2.058,400.92,59.933
1980.2,1024.4,1350.6,1422.4,1759.3,7.3333,469.19,2.4042,2.172,399.83,58.965
1980.5,1023.9,1346.6,1422.8,1759.2,7.6667,469.72,2.2883,2.275,400.17,58.415
1980.8,1025.5,1352.5,1423.5,1759.8,7.4,469.22,3.4033,2.725,401.28,58.028
1981,1027.4,1359.5,1423.4,1760.7,7.4333,467.13,3.5975,2.467,402.95,59.125
1981.2,1026.4,1355.6,1423.6,1759.8,7.4,468.09,3.7267,1.858,401.69,58.163
1981.5,1027.3,1359.4,1423.2,1758.9,7.4,467.32,3.7633,1.783,402.54,60.053
1981.8,1025.8,1354.7,1422.9,1758.2,8.2333,468.2,2.9375,1.856,401.34,59.56
1982,1023.9,1347.8,1422.8,1757.1,8.8333,470.06,3.2033,1.39,400.62,59.898
1982.2,1024.3,1347.3,1422.8,1757.4,9.4333,469.51,3.105,1.197,400.83,59.29
1982.5,1023.6,1345.9,1423.6,1757.2,9.9,469.64,2.3292,1.43,401.02,58.758
1982.8,1023.5,1340.9,1424.9,1756.5,10.667,469.11,1.9767,1.104,401.93,58.943
1983,1024.6,1342,1425.7,1756.7,10.367,468.45,2.0267,0.805,403.25,58.735
1983.2,1026.6,1349.3,1427,1758.1,10.133,466.77,2.0992,0.674,405.53,58.53
1983.5,1028.3,1353.8,1428.5,1759.9,9.3667,465.43,2.285,1.042,406.24,57.348
1983.8,1030.1,1360.8,1429.2,1760.7,8.5333,465.46,2.2,0.733,406.72,57.433
1984,1031.9,1367.6,1429.9,1761.8,7.8667,466.04,2.2925,1.059,406.89,58.283
1984.2,1033.5,1369.8,1431,1763.3,7.4333,465.51,2.4492,0.838,407.51,59.023
1984.5,1034.2,1370.6,1431.8,1762.7,7.4333,465.66,2.58,0.807,407.93,59.515
1984.8,1034.7,1370.1,1432.5,1763,7.3,465.84,2.2008,0.669,407.99,59.74
1985,1035.5,1368,1433.9,1763.6,7.2333,465.67,2.0458,1.144,408.16,60.85
1985.2,1036.2,1369.1,1435,1763.1,7.3,465.61,1.865,0.617,408.5,60.648
1985.5,1037.5,1369.7,1436.2,1763.7,7.2,465.08,1.7767,0.578,409.77,61.323
1985.8,1038,1370.9,1437.1,1763.8,7.0333,466.33,1.7917,0.577,410.2,61.088
1986,1038.8,1371.3,1437.8,1763.9,7.0333,466.12,1.7242,0.487,411.37,62.023
1986.2,1039,1371.1,1437.7,1763.8,7.1667,466.34,1.535,0.399,412.14,62.83
1986.5,1039.8,1371.9,1438.3,1763.8,6.9667,466.97,1.3808,0.403,412.62,62.948
1986.8,1040,1371.1,1439.1,1764.3,6.8333,468.13,1.3383,0.556,412.38,62.595
1987,1040.5,1370.9,1440.2,1765.2,6.6,468.46,1.3842,0.723,411.89,61.553
1987.2,1041.4,1371.8,1441.3,1765.6,6.2667,467.92,1.4142,0.668,412.61,62.623
1987.5,1042.1,1372.8,1441.9,1765.9,6,468.13,1.5108,0.723,412.63,63
1987.8,1043.5,1376,1442.6,1766.6,5.8333,468.07,1.4658,0.824,413.49,63.085
1988,1043.8,1373.4,1443.8,1766,5.7,468.77,1.4308,0.783,413.83,64.525
1988.2,1045,1374.5,1444.8,1766.9,5.4667,468.8,1.5525,0.962,414.1,64.788
1988.5,1045.3,1373.7,1445.6,1766.8,5.4667,468.6,1.7525,1.171,414.4,65.225
1988.8,1046.3,1375.2,1446.7,1767.6,5.3333,467.96,1.9317,0.799,414.79,65.22
1989,1047.1,1376.7,1447.1,1768.3,5.2,467.77,2.135,1.093,414.65,64.92
1989.2,1047.7,1375.8,1447.9,1768.6,5.2333,466.58,2.1025,1.029,415.02,64.463
1989.5,1048.2,1375.1,1448.2,1768.4,5.2333,466.27,1.9608,0.722,415.53,64.99
1989.8,1048.1,1373.1,1449,1768.2,5.3667,467.12,1.9133,0.693,415.57,64.78
1990,1049,1374.4,1449.5,1768.8,5.3,467.26,1.94,1.098,416.4,64.985
1990.2,1049,1372.1,1450.1,1767.9,5.3333,467.48,1.9367,1.026,417.16,65.155
1990.5,1048.7,1369.8,1451.1,1766.9,5.7,467.63,1.8692,0.889,417.46,65.185
1990.8,1047.5,1364,1450.9,1766.3,6.1333,468.43,1.7475,0.754,416.59,65.063
1991,1046.7,1360.7,1450,1765.2,6.6,467.96,1.5058,0.992,416.85,65.5
1991.2,1047.2,1359.9,1450.4,1764.8,6.8333,467.66,1.39,0.683,418.45,66.103
1991.5,1047.3,1360.8,1450.5,1764.7,6.8667,467.35,1.3442,0.732,419.17,65.908
1991.8,1047.4,1361.8,1450.6,1764.1,7.1,467.75,1.135,0.538,419.75,65.713
1992,1048.3,1360.9,1452.2,1764.3,7.3667,468.2,0.97332,0.428,421.68,68.23
1992.2,1049,1363.9,1452.5,1764.4,7.6,467.82,0.92,0.636,422.52,67.895
1992.5,1049.6,1364.5,1453.4,1764.2,7.6333,467.65,0.77082,0.475,423.42,68.018
